metric,Order Month,Furniture,Office Supplies,Technology
Cost,2013-07-01 00:00:00,0.6261492768527188,0.7827686593567282,0.6373608669363735
Cost,2014-11-01 00:00:00,0.6452477526512921,0.7761031440689949,0.7507379782671
Cost,2014-12-01 00:00:00,0.6265558881005657,0.792166394177839,0.595675862209669
Quantity,2011-01-01 00:00:00,0.30555555555555536,0.3412228796844181,0.4419753086419753
Quantity,2011-02-01 00:00:00,0.4099999999999999,0.3444928021426179,0.43722943722943697
Quantity,2011-03-01 00:00:00,0.32538167938931295,0.30923423423423424,0.3582766439909295
Quantity,2011-04-01 00:00:00,0.3055555555555556,0.34884057971014504,0.3694545454545455
Quantity,2011-05-01 00:00:00,0.3913043478260869,0.34289978188497283,0.3522727272727273
Quantity,2011-06-01 00:00:00,0.33182589033352183,0.3492780511414053,0.29220779220779214
Quantity,2011-07-01 00:00:00,0.35307017543859653,0.34193452711971206,0.44543689320388347
Quantity,2011-08-01 00:00:00,0.366043613707165,0.3532349109856707,0.44510582010582
Quantity,2011-09-01 00:00:00,0.3663273001508296,0.3473016285516286,0.34662236987818384
Quantity,2011-10-01 00:00:00,0.3292307692307692,0.3209320799682247,0.3261261261261261
Quantity,2011-11-01 00:00:00,0.2912578055307762,0.337249303784138,0.336888888888889
Quantity,2011-12-01 00:00:00,0.36293363499245856,0.34760066750742014,0.29765299407764867
Quantity,2012-01-01 00:00:00,0.42727272727272725,0.29147727272727275,0.3875598086124401
Quantity,2012-02-01 00:00:00,0.4444444444444444,0.3498452012383899,0.38156028368794326
Quantity,2013-08-01 00:00:00,0.33386666666666653,0.345123595505618,0.3338345864661654
Quantity,2013-09-01 00:00:00,0.3351493428912786,0.362408580598208,0.3405797101449275
Quantity,2014-12-01 00:00:00,0.357560855667568,0.35173602636075185,0.3141836734693877
Sales,2011-01-01 00:00:00,0.7522652072981642,0.7695639081056866,0.525145804413705
